X Y Z
-486996.59 -1117541.82 247.8
-487005.86 -1117613.3 250.72
-487029.8 -1117797.51 254.53
-487013.46 -1117671.91 252
-487020.38 -1117725.5 253.53
-487018.3 -1117709.55 253.14
-486986.9 -1117468 246.3
-487015.76 -1117690.1 252.41
-487008.59 -1117635.03 251.26
-487011.44 -1117657.05 251.49
-486994.38 -1117526.04 247.84
-486986.14 -1117462.79 246.21
-487018.55 -1117712.22 253.15
-487052.72 -1117975.07 254.91
-487020.04 -1117724.08 253.56
-487015.92 -1117692.4 252.49
-486996.63 -1117544.06 248.02
-486992.07 -1117509.11 247.96
-486994.71 -1117529.48 247.54
-486992.47 -1117512.53 247.33
-486994.81 -1117530.61 247.42
-486992.15 -1117510.27 247.78
-487018.63 -1117714.16 253.16
-487054.81 -1117992.5 254.5
-487008.79 -1117638.51 251.4
-486994.88 -1117531.78 247.46
-487021.46 -1117736.27 253.49
-487004.01 -1117602.06 250.29
-486992.52 -1117513.71 247.46
-486987.15 -1117472.68 246.68
-486996.23 -1117543 247.49
-486992.51 -1117514.87 247.64
-487006.46 -1117622.49 250.96
-486985.25 -1117459.36 246.09
-487021.69 -1117739.74 253.56
-487018.81 -1117717.58 253.35
-486988.11 -1117481.41 247.72
-486987.26 -1117475.04 247.06
-486992.59 -1117516.06 247.78
-487031.86 -1117818.38 254.72
-486996.73 -1117548.23 249.31
-487053.48 -1117984.81 254.67
-487004.29 -1117606.67 250.52
-486992.66 -1117517.19 247.85
-486999.53 -1117570.14 249.49
-487017.25 -1117706.53 253.03
-486996.74 -1117548.82 249.41
-487018.97 -1117719.88 253.38
-486976.09 -1117389.96 243.54
-487012.14 -1117667.34 251.75
-487016.42 -1117700.45 252.8
-486987.25 -1117476.24 247.32
-486975.9 -1117388.96 243.47
-486996.82 -1117549.99 249.45
-487002.63 -1117594.74 250.13
-486989.17 -1117491.46 247.92
-487038.93 -1117874.31 255.19
-486989.96 -1117497.76 247.79
-487014.33 -1117685.44 252.17
-487016.57 -1117702.74 252.84
-487053.44 -1117986.33 254.59
-487046.74 -1117934.86 255.1
-486995.25 -1117538.74 247.83
-486993.05 -1117521.8 247.72
-486987.28 -1117477.45 247.49
-487009.53 -1117648.81 251.39
-486999.73 -1117573.6 249.67
-486995.34 -1117539.87 247.83
-487032.3 -1117824.22 254.7
-486995.48 -1117541.03 247.76
-486995.77 -1117543.3 247.21
-487029.4 -1117802.19 254.58
-486985.74 -1117466.33 246.15
-486987.33 -1117478.6 247.6
-486995.59 -1117542.15 247.57
-486999.81 -1117574.74 249.72
-487026.01 -1117776.4 254.25
-487014.62 -1117689.11 252.32
-486976.46 -1117395.87 243.7
-487019.68 -1117728.54 253.29
-486999.99 -1117577.03 249.72
-487019.6 -1117727.96 253.29
-486990.13 -1117501.23 247.99
-487034.74 -1117844.44 254.92
-486993.25 -1117525.28 247.79
-487002.79 -1117598.76 250.13
-487024.53 -1117766.06 254.03
-487031.93 -1117823.27 254.67
-486985.61 -1117466.98 246.14
-487007.16 -1117632.79 251.19
-486993.32 -1117526.44 247.84
-487016.93 -1117708.45 253.07
-486983.84 -1117453.84 245.74
-487014.72 -1117691.54 252.37
-486993.4 -1117527.59 247.83
-486987.99 -1117485.97 247.83
-487017.62 -1117713.99 253.12
-486995.6 -1117544.83 247.81
-486986.07 -1117472.18 246.49
-487051.25 -1117973.63 254.89
-486990.45 -1117505.89 248.14
-487024.86 -1117770.7 254.07
-486993.85 -1117532.17 247.44
-487025.05 -1117772.25 254.12
-487050.55 -1117968.5 254.91
-487003.08 -1117603.36 250.32
-487019.84 -1117732.53 253.5
-486995.69 -1117546.84 248.5
-486993.93 -1117533.32 247.45
-486986.13 -1117473.37 246.59
-487043.74 -1117916.77 255.23
-487051.45 -1117976.07 254.78
-486990.73 -1117509.33 248.06
-487041.82 -1117902.45 255.28
-487016.95 -1117711.09 253.02
-486995.19 -1117543.76 247.23
-486990.83 -1117510.47 247.97
-486995.69 -1117548.03 248.95
-486991.24 -1117513.89 247.31
-487013.13 -1117682.28 252.06
-487010.4 -1117661.42 251.57
-487012.56 -1117678.07 251.95
-487027.52 -1117793.25 254.43
-486981.71 -1117441.06 245.26
-487036.83 -1117865.13 255.14
-486991.32 -1117515.04 247.36
-486991.02 -1117512.78 247.73
-487000.68 -1117587.36 249.88
-486994.1 -1117536.82 247.64
-486995.7 -1117549.19 249.19
-486986.78 -1117480.65 247.54
-487046.28 -1117938.56 255.16
-486977.23 -1117407.72 244.03
-486995.77 -1117550.36 249.29
-486991.33 -1117516.24 247.57
-487010.64 -1117664.86 251.64
-486985.25 -1117469.85 246.25
-486984.39 -1117463.25 246.17
-487031.38 -1117825.09 254.71
-487008.02 -1117645.42 251.32
-487044.1 -1117923.1 255.11
-486988.43 -1117494.85 247.96
-486984.47 -1117464.41 246.19
-486984.97 -1117468.52 246.18
-487008.11 -1117646.55 251.3
-486994.28 -1117540.29 247.86
-486998.37 -1117571.84 249.5
-486984.55 -1117465.58 246.19
-486991.43 -1117518.57 247.83
-487014.14 -1117693.45 252.47
-486994.36 -1117541.45 247.89
-486994.62 -1117543.73 247.44
-487001.03 -1117593.14 250.1
-486996.07 -1117554.99 249.49
-486993.47 -1117535.04 247.5
-486984.73 -1117467.9 246.17
-487015.72 -1117706.31 252.93
-487003.82 -1117614.85 250.61
-486991.59 -1117520.88 247.87
-486985.84 -1117476.75 247.09
-486995.09 -1117547.92 248.67
-487046.8 -1117945.75 255.17
-486994.68 -1117544.88 247.55
-487005.97 -1117631.91 251.11
-487001.22 -1117595.42 250.04
-487018 -1117724.53 253.45
-487044.43 -1117927.88 255.15
-486991.66 -1117522.01 247.83
-486988.88 -1117500.63 247.88
-487008.41 -1117651.15 251.38
-487040.06 -1117894.69 255.21
-486991.92 -1117524.31 247.64
-486994.74 -1117546.04 247.75
-486986.6 -1117483.94 247.73
-486991.97 -1117525.48 247.67
-487013.4 -1117690.47 252.29
-487016.03 -1117710.92 253
-486996.48 -1117560.7 249.44
-487002.89 -1117610.11 250.52
-486982.53 -1117453.95 245.67
-487037.75 -1117878.86 255.21
-486989.03 -1117504.13 248.14
-486989.17 -1117505.29 248.15
-486992.08 -1117527.8 247.82
-487017.51 -1117723.5 253.45
-487020.54 -1117747.05 253.63
-486986.93 -1117488.59 247.82
-486992.17 -1117528.94 247.86
-486982.68 -1117456.3 245.74
-486976.09 -1117405.74 243.93
-486992.26 -1117530.1 247.83
-487023.45 -1117770.05 254
-486999.51 -1117585.93 249.78
-487008.38 -1117654.28 251.27
-486974.85 -1117396.4 243.6
-486996.8 -1117565.32 249.43
-487011.32 -1117677 251.86
-487004.43 -1117624.02 250.84
-487014.21 -1117699.46 252.67
-486992.45 -1117532.41 247.63
-487031.6 -1117833.59 254.78
-486992.7 -1117534.7 247.48
-486989.47 -1117509.91 248.1
-487014.39 -1117701.76 252.7
-487001.89 -1117605.74 250.35
-486989.56 -1117511.05 248.06
-487026.6 -1117796.12 254.37
-486992.75 -1117535.83 247.49
-486991.38 -1117525.27 247.64
-486985.28 -1117478.47 247.12
-486997.13 -1117569.9 249.42
-486987.31 -1117494.4 247.96
-487035.2 -1117862.83 255.03
-486989.77 -1117513.36 247.92
-487042.41 -1117918.34 255.2
-486990.05 -1117515.62 247.5
-487046.62 -1117950.96 255.07
-486990.17 -1117516.76 247.37
-486987.4 -1117495.54 247.97
-486989.86 -1117514.52 247.77
-487011.94 -1117684.38 252.06
-486992.78 -1117537.02 247.58
-486985.32 -1117479.64 247.2
-486994.95 -1117554.21 249.33
